business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories
HbCo6u4IzsTh4oWwQJ-e5g,"""Persian Restaurant""",Rathaus,"""Kanalstr. 10""",Stuttgart,BW,70182,48.7751,9.18329,4.5,38,1,Restaurants;Persian/Iranian;Arabian;Pizza
_4KoAOFWFBu7xCoKtZfv6A,"""McAlister's Deli""",,"""936 Market St""",Fort Mill,SC,29708,35.0286102,-80.9675551,3.5,13,1,Salad;Sandwiches;Delis;Restaurants
fYphvqFYt2HNz5RyJtmH4A,"""The Newington Traditional Fish Bar""",Newington,"""23 South Clerk Street""",Edinburgh,EDH,EH8 9JD,55.9408747,-3.1809179,3.5,16,0,Restaurants;Fish & Chips;Fast Food
MDBdz5JCT0-R31eri_acJw,"""Crown Cove RV Park""",,"""8332 Regent Pkwy""",Fort Mill,SC,29715,35.060457,-80.904967,4.0,4,1,RV Parks;Hotels & Travel;RV Rental;Professional Services
iJv_ealBzupOzG_Msk2iIw,"""Holiday Inn Express & Suites Pittsburgh-South Side""",South Side,"""20 S 10th St""",Pittsburgh,PA,15203,40.4299583,-79.9889541,2.5,62,1,Venues & Event Spaces;Event Planning & Services;Hotels & Travel;Hotels
1jymoHpH5rlo76tzPPO3QQ,"""Fudge Farm""",South Side,"""1503 East Carson St""",Pittsburgh,PA,15203,40.429079,-79.9832306,4.5,32,1,Desserts;Candy Stores;Specialty Food;Food
Xsb_qhfvj0p_ys81-z9SPg,"""QDC Burger""",Ville-Marie,"""1181 Rue de La Montagne""",Montréal,QC,H3G 1Z2,45.4971983,-73.5732314,3.5,27,1,Burgers;Restaurants
3MmNFU-6po5M4hKRnQZusw,"""Invictus""",Corso Italia,"""1331 St Clair Avenue W""",Toronto,ON,M6E 1C2,43.6762825895,-79.449459212,1.5,5,0,Sandwiches;Brazilian;Pizza;Portuguese;Restaurants;Italian
0_zwC5tHrz_4wna4zmCnpA,"""Advantage Rent A Car""",,"""1805 E Sky Harbor Cir S""",Phoenix,AZ,85034,33.4306973,-112.0451093,1.5,52,1,Car Rental;Hotels & Travel
NZjyOe-ZIe88X0_-4J292A,"""Cortona At Dana Park""",,"""1440 S Val Vista Dr""",Mesa,AZ,85204,33.388789,-111.754942,2.5,7,0,Real Estate;Apartments;Home Services
yH83tf58E9jrME5U4HGAMg,"""Copper Plate""",,"""Phoenix Sky Harbor Airport""",Phoenix,AZ,85034,33.434145289,-112.013951276,2.0,48,1,American (Traditional);Restaurants;Diners
jIn4HPCS6fKywg2curShWQ,"""Mandy's Fish & Chips""",,"""2426 E Jefferson St""",Phoenix,AZ,85034,33.447507,-112.028839,3.5,48,0,Restaurants;Fish & Chips
jD92NLU2_PekEru8thC7hg,"""S.E.E.K. Early Learning Center""",,"""1848 N 52nd St""",Phoenix,AZ,85008,33.4690850989,-111.970157313,4.5,18,1,Speech Therapists;Counseling & Mental Health;Child Care & Day Care;Preschools;Occupational Therapy;Local Services;Education;Health & Medical;Tutoring Centers;Physical Therapy
i9EHm7n2pvKoliAMmCth0w,"""Hansen & Co Barber Shop""",,"""807 S Neil St""",Champaign,IL,61820,40.106749,-88.243715,5.0,18,1,Beauty & Spas;Barbers
LpVNpw2-Bn9iHVON33auKw,"""Tacos N More 2""",,"""4622 S Higley Rd, Ste 101""",Gilbert,AZ,85297,33.2649384,-111.7206896,3.0,134,1,Tex-Mex;Mexican;Breakfast & Brunch;Hot Dogs;Restaurants
p-gtWUlB0XqIyGE_yO4Kmg,"""The TaB Group""",,"""727 E Bethany Home Rd, Ste D222""",Phoenix,AZ,85014,33.5235143,-112.0638854,5.0,7,1,Real Estate Photography;Real Estate Agents;Real Estate Services;Real Estate;Home Services
V_CzgZ8maFoKv9t-LgcjDg,"""Metropolitan Cafe""",Warehouse District,"""1352 W 6th St.""",Cleveland,OH,44113,41.4992836,-81.6985549,3.5,4,0,Restaurants
w4uc4nDwm-C-93G0BOV2pQ,"""McDonald's""",,"""Hayden & McDowell""",Scottsdale,AZ,85250,33.4657319,-111.9089546,2.5,3,1,Fast Food;Restaurants;Burgers
ytoKWw50MfHs5PPEJtPjMQ,"""Le Peep""",,"""8390 E Via De Ventura, Ste F108""",Scottsdale,AZ,85250,33.519588,-111.909524,4.0,5,0,American (Traditional);Restaurants
qoln51H-jUc1kAaLr6oq2g,"""Burlington Coat Factory""",,"""9189 E Indian Bend Rd""",Scottsdale,AZ,85250,33.5383773,-111.8830022,3.5,10,1,Department Stores;Shopping;Fashion
RGhWcpC9hA2wvlWSjptxvg,"""Tinnel's West Indian Take-Out""",,"""2517 Eglinton Avenue W""",York,ON,M6M 1T2,43.69095,-79.4709651,4.0,13,1,Middle Eastern;Pakistani;Caribbean;Indian;Restaurants
v6xCjN--LBjqQLbb9cODNw,"""Family Christian""",,"""1120 Park Manor, Ste 102""",Pittsburgh,PA,15205,40.4532646,-80.1653898,4.5,3,1,Books;Mags;Music & Video;Bookstores;Home & Garden;Shopping;Home Decor
Gc8xWVpbUlBYHAoOT9MTyQ,"""La Cubana""",Ossington Strip,"""92 Ossington Avenue""",Toronto,ON,M6J 2Z4,43.6462083,-79.419674,4.0,135,1,Food;Desserts;Cuban;Sandwiches;Restaurants
Mp0fzfAxfjaKSG_z2_p7Mg,"""Tropical Rayz""",,"""9570 McCowan Road""",Markham,ON,L3P 8M1,43.8936163,-79.2919745,5.0,3,1,Beauty & Spas;Tanning
VufuFRAnuIk8k5pSgzx6hw,"""The Green Goat""",,"""""",Phoenix,AZ,85032,33.6364503,-112.0118669,4.0,33,1,Home Services;Landscaping
6aEl9HcOu3F5mSP3c35QaQ,"""Splashtime Pool Supply""",,"""35 W Combs Rd, Ste 103""",San Tan Valley,AZ,85140,33.2192847,-111.5639482,5.0,7,1,Contractors;Home & Garden;Swimming Pools;Active Life;Pool & Hot Tub Service;Home Decor;Home Services;Shopping;Hot Tub & Pool
ixRnVXUr_pVz2HxSt0ofwg,"""Hybikes Electric Bikes""",,"""2714 W Osborn Rd""",Phoenix,AZ,85017,33.4877331,-112.1176524,4.0,3,1,Bikes;Sporting Goods;Active Life;Shopping;Bike Rentals
Z_8D61y5nQUwoxpoKxbjbA,"""Runnymede Healthcare Centre""",The Junction,"""625 Runnymede Road""",Toronto,ON,M6S 3A3,43.6647147779,-79.4811090892,4.0,4,1,Health & Medical;Medical Centers;Hospitals
maS9nrPCoEEgAOiu4UtdlQ,"""Roger's Repair Service""",Northwest,"""""",Las Vegas,NV,89120,36.233048,-115.246776,4.0,5,1,Home Decor;Pool & Hot Tub Service;Shopping;Home Services;Electricians;Home & Garden;Contractors;Handyman;Hot Tub & Pool
Ks0M3J4vZAKsHPuCINz5fQ,"""The Cupcakery Summerlin""",,"""7175 W Lake Mead Blvd, Ste 118""",Las Vegas,NV,89128,36.195502,-115.2482722,3.5,279,1,Food;Bakeries;Cupcakes;Custom Cakes
kVoVCpWjYLqNH5wQlUR_mw,"""Bond heating and air conditioning""",,"""7575 W Washington Ave, Ste 127""",Las Vegas,NV,89128,36.1805335,-115.2577339,4.5,35,1,Home Services;Heating & Air Conditioning/HVAC
Zg-yHfEik1zwfuTlHImixw,"""Kure Sun Valley""",,"""6701 Old Monroe Rd, Ste E""",Indian Trail,NC,28079,35.0485407,-80.6463282,5.0,3,1,Shopping;Vape Shops
r2PT9l0rB7EJEqZ-jVbVmQ,"""Creations Unlimited""",,"""4075 Erie St""",Willoughby,OH,44094,41.6411159,-81.4063531,4.0,4,1,Bridal;Fashion;Women's Clothing;Customized Merchandise;Used;Vintage & Consignment;Local Services;Sewing & Alterations;Shopping
z842P9C3sHaZwNPU-kHgZw,"""Suzuki of Newmarket""",,"""80 Harry Walker Parkway""",Newmarket,ON,L3Y 8W2,44.0692179,-79.4265289,2.5,3,1,Motorcycle Dealers;Automotive;Car Dealers
XbI34G6a5GIAl7Xcu0A2Tw,"""Nail Boutique""",,"""23415 N Scottsdale Rd, Ste 103""",Scottsdale,AZ,85255,33.699072,-111.9237211,4.5,19,1,Beauty & Spas;Hair Removal;Nail Salons;Day Spas;Waxing
xV-FFJUkDWhDVJ8K52QY1g,"""Goodyear Auto Service Center""",,"""9798 Charlotte Hwy""",Fort Mill,SC,29707,35.0033856822,-80.8545577526,3.0,9,1,Oil Change Stations;Automotive;Auto Repair;Tires
iY7E-MZPwBuFKSMtMhCIBg,"""Hot Dog on A Stick""",,"""1300 W Sunset Rd""",Henderson,NV,89014,36.0667757,-115.0429179,3.0,20,1,Fast Food;Restaurants;Hot Dogs
HUAFp5Ito9JFYOLltHlx-Q,"""Oakville Trafalgar Memorial Hospital""",,"""3001 Hospital Gate""",Oakville,ON,L6M 0L8,43.450805626,-79.7640251695,2.0,6,1,Hospitals;Health & Medical
Fh97xI2CMySZnT1hCNpWPQ,"""Heidi's Brooklyn Deli""",Westside,"""7293 W Sahara Ave""",Las Vegas,NV,89117,36.1433538,-115.2512854,4.5,6,0,Restaurants;Sandwiches;Delis
OKAf_WCLS4YN-afZIq9B1A,"""Chez Cora""",Dollard-des-Ormeaux,"""3520 Boulevard Des Sources""",Dollard-des-Ormeaux,QC,H9B 1Z9,45.4882869,-73.8011905,3.0,4,0,Restaurants;Breakfast & Brunch
_cXlOx98RAJlQq0idHQHEg,"""Pet Club Peoria""",,"""7616 W Thunderbird Rd""",Peoria,AZ,85381,33.6106341,-112.2223524,3.5,5,1,Pet Groomers;Pets;Pet Adoption;Pet Stores;Pet Services
hi650-zvFMHFub8pQ1B6TQ,"""Glora Kaffeehaus Ost""",,"""Hackstraße 71""",Stuttgart,BW,70190,48.7891789,9.2058692,3.5,9,0,Coffee & Tea;Cafes;Food;Restaurants
sXKDj1yjfWkwhx5AxrgdBw,"""Yummy Zone""",Discovery District,"""895 Bay Street""",Toronto,ON,M5S 3K6,43.6631782,-79.3863982,3.5,15,1,Chinese;Restaurants;Food;Taiwanese
